,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,16th Most Common Venue,17th Most Common Venue,18th Most Common Venue,19th Most Common Venue,20th Most Common Venue
26,Jakkur,13.0784743,77.6068938,3,Indian Restaurant,Bus Station,Lake,Café,Department Store,Dhaba,South Indian Restaurant,Hotel,Airport,Deli / Bodega,Farm,Food,Flower Shop,Flea Market,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Cupcake Shop,Falafel Restaurant
27,Jalahalli H.O,13.0464531,77.54838029999999,3,Indian Restaurant,Playground,Bus Station,Italian Restaurant,Dessert Shop,Park,Plaza,Hotel,Art Gallery,Falafel Restaurant,Food & Drink Shop,Food,Flower Shop,Flea Market,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Farm,Electronics Store
28,Jayanagar H.O,12.9292731,77.58242290000001,4,Indian Restaurant,Ice Cream Shop,Café,Fast Food Restaurant,Chinese Restaurant,Coffee Shop,Juice Bar,South Indian Restaurant,Sandwich Place,Restaurant,Bakery,Italian Restaurant,Women's Store,Jewelry Store,Snack Place,Park,Pizza Place,Rajasthani Restaurant,Candy Store,Pharmacy
29,Kadabagere,12.9968992,77.43322540000001,4,ATM,Paper / Office Supplies Store,Eastern European Restaurant,Flower Shop,Flea Market,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant,Electronics Store,Donut Shop,Food & Drink Shop,Diner,Dhaba,Dessert Shop,Department Store,Deli / Bodega,Dance Studio
30,Kamakshipalya,12.9823617,77.5226376,4,Bus Station,Café,Indian Restaurant,Bakery,Supermarket,Lighthouse,Fast Food Restaurant,Arts & Crafts Store,Gastropub,Dessert Shop,Fried Chicken Joint,Dance Studio,Farmers Market,Financial or Legal Service,Farm,Flea Market,Field,Yoga Studio,Falafel Restaurant,Food
31,Kathriguppe,12.9311931,77.5547931,4,Indian Restaurant,Fast Food Restaurant,Pizza Place,Café,Breakfast Spot,Snack Place,Shopping Mall,Convenience Store,Miscellaneous Shop,Mobile Phone Shop,Movie Theater,South Indian Restaurant,Coffee Shop,Park,Clothing Store,Dessert Shop,Electronics Store,Pub,Burger Joint,Indian Chinese Restaurant
32,Kengeri,12.9176571,77.4837568,3,Indian Restaurant,Ice Cream Shop,Department Store,Train Station,Café,Bus Station,Electronics Store,Flower Shop,Flea Market,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant,Donut Shop,Eastern European Restaurant,Food & Drink Shop,Diner,Dhaba
33,Konanakunte,12.88601785,77.5791413972707,4,Indian Restaurant,South Indian Restaurant,Department Store,Pizza Place,Breakfast Spot,Ice Cream Shop,Café,Lounge,Bus Station,Eastern European Restaurant,Restaurant,Donut Shop,Gym / Fitness Center,Brewery,General Entertainment,Coffee Shop,Vegetarian / Vegan Restaurant,Shopping Mall,Food Truck,Farmers Market
34,Koramangala,12.9340114,77.6222304,4,Indian Restaurant,Café,Italian Restaurant,Juice Bar,Fast Food Restaurant,Dessert Shop,Ice Cream Shop,Bakery,Bar,Brewery,Department Store,Gym,Snack Place,Burger Joint,Clothing Store,Lounge,Mobile Phone Shop,Multiplex,Breakfast Spot,Kerala Restaurant
35,Kumbalagodu,12.878616699999998,77.44676290000001,4,ATM,Sporting Goods Shop,Hotel,Pool,Pool Hall,Café,Donut Shop,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant,Electronics Store,Eastern European Restaurant,Dhaba,Diner,Flower Shop,Dessert Shop,Department Store
